storm_id,storm_name,rows,year,landfall_date,wind_speed_at_landfall,strict_landfall_date,strict_wind_speed_at_landfall,is_hurricane,max_wind_speed,has_any_landfall,has_strict_landfall,has_liberal_landfall
AL091948,UNNAMED,56,1948,1948-10-05 20:00:00,90.0,1948-10-05 20:00:00,90.0,True,110,True,True,True
AL021949,UNNAMED,40,1949,1949-08-26 23:00:00,115.0,1949-08-26 23:00:00,115.0,True,115,True,True,True
AL051950,EASY,39,1950,1950-09-05 12:00:00,105.0,1950-09-05 12:00:00,105.0,True,105,True,True,True
AL111950,KING,31,1950,1950-10-18 05:00:00,115.0,1950-10-18 05:00:00,115.0,True,115,True,True,True
AL131950,LOVE,21,1950,1950-10-21 06:00:00,60.0,0,0.0,True,70,True,False,True
AL091951,HOW,53,1951,1951-10-02 10:00:00,55.0,0,0.0,True,85,True,False,True
AL011952,UNNAMED,13,1952,1952-02-03 00:00:00,40.0,0,0.0,False,60,True,False,False
AL011953,ALICE,53,1953,1953-06-06 12:00:00,45.0,0,0.0,False,60,True,False,False
AL081953,UNNAMED,23,1953,1953-09-20 17:00:00,35.0,0,0.0,False,45,True,False,False
AL091953,FLORENCE,19,1953,1953-09-26 15:00:00,80.0,1953-09-26 15:00:00,80.0,True,100,True,True,True
AL121953,HAZEL,40,1953,1953-10-09 12:00:00,75.0,1953-10-09 12:00:00,75.0,True,75,True,True,True
AL071956,FLOSSY,52,1956,1956-09-24 18:00:00,80.0,1956-09-24 18:00:00,80.0,True,80,True,True,True
AL111956,UNNAMED,20,1956,1956-10-15 18:00:00,50.0,0,0.0,False,55,True,False,False
AL011957,UNNAMED,32,1957,1957-06-08 18:00:00,45.0,0,0.0,False,65,True,False,False
AL051957,DEBBIE,10,1957,1957-09-08 17:00:00,35.0,0,0.0,False,35,True,False,False
AL031959,UNNAMED,20,1959,1959-06-18 06:00:00,40.0,0,0.0,True,75,True,False,True
AL111959,JUDITH,34,1959,1959-10-18 14:00:00,55.0,0,0.0,True,75,True,False,True
AL031960,BRENDA,46,1960,1960-07-29 06:00:00,35.0,0,0.0,False,60,True,False,False
AL051960,DONNA,72,1960,1960-09-10 06:00:00,125.0,1960-09-10 06:00:00,125.0,True,125,True,True,True
AL071960,FLORENCE,40,1960,1960-09-23 12:00:00,25.0,0,0.0,False,50,True,False,False
AL011962,ALMA,28,1962,1962-08-26 12:00:00,25.0,0,0.0,True,75,True,False,True
AL011964,UNNAMED,34,1964,1964-06-06 12:00:00,25.0,0,0.0,False,60,True,False,False
AL051964,CLEO,92,1964,1964-08-27 08:00:00,95.0,1964-08-27 08:00:00,95.0,True,130,True,True,True
AL061964,DORA,75,1964,1964-09-10 00:00:00,90.0,1964-09-10 00:00:00,90.0,True,115,True,True,True
AL111964,ISBELL,34,1964,1964-10-14 21:00:00,90.0,1964-10-14 21:00:00,90.0,True,100,True,True,True
AL011965,UNNAMED,30,1965,1965-06-15 06:00:00,50.0,0,0.0,False,50,True,False,False
AL031965,BETSY,74,1965,1965-09-08 11:00:00,100.0,1965-09-08 11:00:00,100.0,True,120,True,True,True
AL091965,UNNAMED,15,1965,1965-10-18 12:00:00,55.0,0,0.0,False,55,True,False,False
